cells_per_metacell,min_metacells,seed,cell_type,gene,rho
15,10,42,natural killer cell,UGT1A6,0.05495750233531045
15,10,42,natural killer cell,SULT2A1,0.12244397977156457
15,10,42,natural killer cell,GSTA1,0.006630641019477112
15,10,42,natural killer cell,GSTA2,0.03728756212127066
15,10,42,natural killer cell,ABCB1,-0.0010100159235254115
15,10,42,natural killer cell,ABCC2,0.16366921010421695
15,10,42,natural killer cell,ABCC3,0.09117733751977235
15,10,42,natural killer cell,SLCO1B1,0.18232553813776547
15,10,42,natural killer cell,G6PC1,0.1299934701946882
15,10,42,natural killer cell,PCK1,0.06399084191094137
15,10,42,natural killer cell,CPT1A,-0.015263610852121745
15,10,42,natural killer cell,NFKB1,-0.007775340424492419
15,10,123,"CD4-positive, alpha-beta T cell",CYP3A4,0.11520154203796225
15,10,123,"CD4-positive, alpha-beta T cell",CYP3A5,0.15114865548410217
15,10,123,"CD4-positive, alpha-beta T cell",CYP2B6,0.16826702790962084
15,10,123,"CD4-positive, alpha-beta T cell",CYP2C8,0.13045141514767877
15,10,123,"CD4-positive, alpha-beta T cell",CYP2C9,0.1755568316451958
15,10,123,"CD4-positive, alpha-beta T cell",CYP1A2,0.01186769074182563
15,10,123,"CD4-positive, alpha-beta T cell",CYP7A1,-0.00478065762189589
15,10,123,"CD4-positive, alpha-beta T cell",UGT1A1,0.046461538125712985
15,10,123,"CD4-positive, alpha-beta T cell",UGT1A6,0.023335533971267197
15,10,123,"CD4-positive, alpha-beta T cell",SULT2A1,0.11596938430697229
15,10,123,"CD4-positive, alpha-beta T cell",GSTA1,0.0007586363278885485
15,10,123,"CD4-positive, alpha-beta T cell",GSTA2,0.03106777169240002
15,10,123,"CD4-positive, alpha-beta T cell",ABCB1,0.018786005635556175
15,10,123,"CD4-positive, alpha-beta T cell",ABCC2,0.1665313665090396
15,10,123,"CD4-positive, alpha-beta T cell",ABCC3,0.16296086119022032
15,10,123,"CD4-positive, alpha-beta T cell",SLCO1B1,0.11999176943313843
15,10,123,"CD4-positive, alpha-beta T cell",G6PC1,0.07889715754893611
