cell_type,gene,mean,std,ci_low,ci_high,n_iter
monocyte,NFKB1,-0.06045842254061238,0.01268991639029191,-0.07724536556541167,-0.03250328320460795,20
monocyte,PCK1,0.1579762790183294,0.016262945976196107,0.1307513437784303,0.18659920686175818,20
monocyte,SLCO1B1,0.1564686589916617,0.033130144842614916,0.09980927421265545,0.2180267938683389,20
monocyte,SULT2A1,0.17696056103376312,0.019471972006864603,0.15203596696067884,0.2147012453405236,20
monocyte,UGT1A1,0.19967883871276276,0.021026021536290115,0.17224972007746092,0.23544549102466042,20
monocyte,UGT1A6,0.06276260243682644,0.018581889320571823,0.032584486628409744,0.09051857004839291,20
natural killer cell,ABCB1,-0.006954045883595367,0.014416068202260334,-0.03359042785228039,0.012500263765307166,20
natural killer cell,ABCC2,0.1791422873082098,0.01919988995639996,0.15160406598678297,0.2213638271497489,20
natural killer cell,ABCC3,0.11113971698451501,0.014126215991118808,0.08707398430414692,0.13281513677499288,20
natural killer cell,CPT1A,-0.0243249604266195,0.008483865300781235,-0.03870030933889062,-0.011731994392530703,20
natural killer cell,CYP1A2,0.16315246437813485,0.024256232041363644,0.12450234788750884,0.2077399900484672,20
natural killer cell,CYP2B6,0.1491269825692583,0.010707284673171051,0.13428436412474368,0.1688418846869186,20
natural killer cell,CYP2C8,0.13467319308502573,0.014165026427582628,0.10818333350398689,0.15746215219883572,20
natural killer cell,CYP2C9,0.14630015824757822,0.013025244555769746,0.12259294513589428,0.16392477795451116,20
natural killer cell,CYP3A4,0.15103623742165842,0.012107878088131302,0.12632180849758132,0.1650380063614049,20
natural killer cell,CYP3A5,0.13242100960368855,0.014762521330562122,0.10875084287735133,0.16057797258638784,20
natural killer cell,CYP7A1,0.025089905030930497,0.02227979079393333,-0.010912377760895566,0.0698697173033963,20
natural killer cell,G6PC1,0.15732950563353096,0.015303796454907094,0.13004528363630005,0.1890893607115839,20
natural killer cell,GSTA1,0.011344316968603768,0.011020634717293242,-0.00655181497742701,0.032802324020130225,20
natural killer cell,GSTA2,0.03528697932064839,0.012321485154018073,0.012170774812132475,0.05522165314344702,20
natural killer cell,NFKB1,-0.013044103374312846,0.009686305581926504,-0.028465559295807324,0.0014333387655861049,20
natural killer cell,PCK1,0.08755427932718227,0.01584910672045233,0.06759126125686779,0.11584751375444949,20
natural killer cell,SLCO1B1,0.19200334587107445,0.022512405213564922,0.15031376886886663,0.22537639157367784,20
natural killer cell,SULT2A1,0.13271041442336703,0.014620823873670636,0.11263676343932211,0.1551826095856943,20
natural killer cell,UGT1A1,0.10955275315127506,0.02109609763585388,0.07955137924584589,0.1493088670439373,20
natural killer cell,UGT1A6,0.09670244381942196,0.02446543944212687,0.06882773902577823,0.15075904860853173,20
